Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;LONGITUD;LATITUD;DIRECCION
150;441443,71;4477839,96;42186;05  CHAMARTÍN;05-01 EL VISO;CASTELLANA, PASEO, DE LA;S/N;BiciMAD;24;-3.6905376;40.4491555;CASTELLANA, PASEO, DE LA,S/N
151;441047,09;4477810,46;42186;06  TETUÁN;06-02 CUATRO CAMINOS;ORENSE, CALLE, DE;10;BiciMAD;24;-3.6952117;40.4488617;ORENSE, CALLE, DE,10
152;440733,5;4478240,82;42186;06  TETUÁN;06-02 CUATRO CAMINOS;GENERAL PERON, AVENIDA, DEL;S/N;BiciMAD;24;-3.6989497;40.4527163;GENERAL PERON, AVENIDA, DEL,S/N
153;441229,67;4478195,07;42186;06  TETUÁN;06-02 CUATRO CAMINOS;GENERAL PERON, AVENIDA, DEL;S/N;BiciMAD;24;-3.6930944;40.4523394;GENERAL PERON, AVENIDA, DEL,S/N
154;441096,52;4478466,6;42186;06  TETUÁN;06-02 CUATRO CAMINOS;ORENSE, CALLE, DE;36;BiciMAD;24;-3.6946897;40.454776;ORENSE, CALLE, DE,36
155;440572,97;4478750,49;42186;06  TETUÁN;06-02 CUATRO CAMINOS;SAN GERMÁN, CALLE, DE;55;BiciMAD;24;-3.7008905;40.4572961;SAN GERMÁN, CALLE, DE,55
156;441385,88;4478959,93;42186;06  TETUÁN;06-03 CASTILLEJOS;SOR ANGELA DE LA CRUZ, CALLE, DE;S/N;BiciMAD;24;-3.6913229;40.4592406;SOR ANGELA DE LA CRUZ, CALLE, DE,S/N
157;441554,84;4478963,2;42186;05  CHAMARTÍN;05-05 NUEVA ESPAÑA;CASTELLANA, PASEO, DE LA;S/N;BiciMAD;24;-3.6893305;40.459282;CASTELLANA, PASEO, DE LA,S/N
158;441946,46;4478886,67;42186;05  CHAMARTÍN;05-04 HISPANOAMÉRICA;ALBERTO ALCOCER, AVENIDA, DE;22 A;BiciMAD;24;-3.6847049;40.45862;ALBERTO ALCOCER, AVENIDA, DE,22 A
159;442024,96;4478401,51;42186;05  CHAMARTÍN;05-04 HISPANOAMÉRICA;LA HABANA, PASEO, DE;63;BiciMAD;24;-3.6837348;40.4542549;LA HABANA, PASEO, DE,63
160;442637,46;4478722,46;42186;05  CHAMARTÍN;05-04 HISPANOAMÉRICA;COLOMBIA, CALLE, DE;7;BiciMAD;24;-3.6765407;40.4571887;COLOMBIA, CALLE, DE,7
161;438748,24;4474860,98;42186;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;FLORIDA, PASEO, DE LA;8;BiciMAD;24;-3.722035;40.4221254;FLORIDA, PASEO, DE LA,8
162;439688,47;4472787,76;42186;02  ARGANZUELA;02-02 ACACIAS;OLMOS, PASEO, DE LOS;28;BiciMAD;24;-3.7107559;40.4035176;OLMOS, PASEO, DE LOS,28
163;440055,04;4472797,85;42186;02  ARGANZUELA;02-02 ACACIAS;ESPERANZA, PASEO, DE LA;;BiciMAD;24;-3.7064372;40.4036349;ESPERANZA, PASEO, DE LA,
164;441064,15;4472071,33;42186;02  ARGANZUELA;02-05 DELICIAS;DELICIAS, PASEO, DE LAS;92;BiciMAD;24;-3.6944786;40.3971621;DELICIAS, PASEO, DE LAS,92
165;440779,23;4471608,61;42186;02  ARGANZUELA;02-03 CHOPERA;CHOPERA, PASEO, DE LA;47;BiciMAD;24;-3.6977928;40.3929735;CHOPERA, PASEO, DE LA,47
166;439477,71;4473947,39;42544;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;26;BiciMAD;24;-3.7133497;40.4139487;SEGOVIA, CALLE, DE,26
167;439117,28;4473925,6;42877;02  ARGANZUELA;02-01 IMPERIAL;SEGOVIA, CALLE, DE;45;BiciMAD;24;-3.7175955;40.4137262;SEGOVIA, CALLE, DE,45
